[2025-12-19 07:33:20] INFO: ========================================
[2025-12-19 07:33:20] INFO: 🚀 Backend listening on http://localhost:4000
[2025-12-19 07:33:20] INFO: NODE_ENV           : development
[2025-12-19 07:33:20] INFO: FRONTEND_ORIGIN(s) : http://localhost:3000, http://127.0.0.1:3000, http://localhost:3001, http://127.0.0.1:3001, http://localhost:5173, http://127.0.0.1:5173, https://arkwork.vercel.app, https://arkwork-staging.vercel.app
[2025-12-19 07:33:20] INFO: ✅ Billing CRON     : loaded
[2025-12-19 07:33:20] INFO: ✅ Redis Session    : connected & active
[2025-12-19 07:33:20] INFO: ✅ Rate Limiting    : enabled (Targeted)
[2025-12-19 07:33:20] INFO: ✅ Security Headers : enabled (Helmet)
[2025-12-19 07:33:20] INFO: ✅ Logging System   : enabled (Winston)
[2025-12-19 07:33:20] INFO: ========================================
[2025-12-19 07:33:20] ERROR: Redis Client Error
[2025-12-19 07:33:20] ERROR: Redis Client Error
[2025-12-19 07:33:21] ERROR: Redis Client Error
[2025-12-19 07:33:21] ERROR: Redis Client Error
[2025-12-19 07:33:22] ERROR: Redis Client Error
[2025-12-19 07:33:22] ERROR: Redis Client Error
[2025-12-19 07:33:24] ERROR: Redis Client Error
[2025-12-19 07:33:26] ERROR: Redis Client Error
[2025-12-19 07:33:28] ERROR: Redis Client Error
[2025-12-19 07:33:30] ERROR: Redis Client Error
[2025-12-19 07:33:33] ERROR: Redis Client Error
[2025-12-19 07:33:35] ERROR: Redis Client Error
[2025-12-19 07:33:37] ERROR: Redis Client Error
[2025-12-19 07:33:39] ERROR: Redis Client Error
[2025-12-19 07:33:41] ERROR: Redis Client Error
[2025-12-19 07:33:43] ERROR: Redis Client Error
[2025-12-19 07:33:45] ERROR: Redis Client Error
[2025-12-19 07:33:47] ERROR: Redis Client Error
[2025-12-19 07:33:50] ERROR: Redis Client Error
[2025-12-19 07:33:52] ERROR: Redis Client Error
[2025-12-19 07:33:54] ERROR: Redis Client Error
[2025-12-19 07:33:56] ERROR: Redis Client Error
[2025-12-19 07:33:58] ERROR: Redis Client Error
[2025-12-19 07:34:00] ERROR: Redis Client Error
[2025-12-19 07:34:02] ERROR: Redis Client Error
[2025-12-19 07:34:04] ERROR: Redis Client Error
[2025-12-19 07:34:06] ERROR: Redis Client Error
[2025-12-19 07:34:08] ERROR: Redis Client Error
[2025-12-19 07:34:11] ERROR: Redis Client Error
[2025-12-19 07:34:13] ERROR: Redis Client Error
[2025-12-19 07:34:15] ERROR: Redis Client Error
[2025-12-19 07:34:17] ERROR: Redis Client Error
[2025-12-19 07:34:19] ERROR: Redis Client Error
[2025-12-19 07:34:21] ERROR: Redis Client Error
[2025-12-19 07:34:23] ERROR: Redis Client Error
[2025-12-19 07:34:25] ERROR: Redis Client Error
[2025-12-19 07:34:27] ERROR: Redis Client Error
[2025-12-19 07:34:29] ERROR: Redis Client Error
[2025-12-19 07:34:31] ERROR: Redis Client Error
[2025-12-19 07:34:33] ERROR: Redis Client Error
[2025-12-19 07:34:35] ERROR: Redis Client Error
[2025-12-19 07:34:37] ERROR: Redis Client Error
[2025-12-19 07:34:40] ERROR: Redis Client Error
[2025-12-19 07:34:42] ERROR: Redis Client Error
[2025-12-19 07:34:44] ERROR: Redis Client Error
[2025-12-19 07:34:46] ERROR: Redis Client Error
[2025-12-19 07:34:48] ERROR: Redis Client Error
[2025-12-19 07:34:50] ERROR: Redis Client Error
[2025-12-19 07:34:52] ERROR: Redis Client Error
[2025-12-19 07:34:55] ERROR: Redis Client Error
[2025-12-19 07:34:57] ERROR: Redis Client Error
[2025-12-19 07:34:59] ERROR: Redis Client Error
[2025-12-19 07:35:01] ERROR: Redis Client Error
[2025-12-19 07:35:03] ERROR: Redis Client Error
[2025-12-19 07:35:05] ERROR: Redis Client Error
[2025-12-19 07:35:07] ERROR: Redis Client Error
[2025-12-19 07:35:09] ERROR: Redis Client Error
[2025-12-19 07:35:11] ERROR: Redis Client Error
[2025-12-19 07:35:13] ERROR: Redis Client Error
[2025-12-19 07:35:15] ERROR: Redis Client Error
[2025-12-19 07:35:18] ERROR: Redis Client Error
[2025-12-19 07:35:20] ERROR: Redis Client Error
[2025-12-19 07:35:22] ERROR: Redis Client Error
[2025-12-19 07:35:24] ERROR: Redis Client Error
[2025-12-19 07:35:26] ERROR: Redis Client Error
[2025-12-19 07:35:28] ERROR: Redis Client Error
[2025-12-19 07:35:30] ERROR: Redis Client Error
[2025-12-19 07:35:32] ERROR: Redis Client Error
[2025-12-19 07:35:34] ERROR: Redis Client Error
[2025-12-19 07:35:37] ERROR: Redis Client Error
[2025-12-19 07:35:39] ERROR: Redis Client Error
[2025-12-19 07:35:41] ERROR: Redis Client Error
[2025-12-19 07:35:43] ERROR: Redis Client Error
[2025-12-19 07:35:45] ERROR: Redis Client Error
[2025-12-19 07:35:47] ERROR: Redis Client Error
[2025-12-19 07:35:49] ERROR: Redis Client Error
[2025-12-19 07:35:51] ERROR: Redis Client Error
[2025-12-19 07:35:53] ERROR: Redis Client Error
[2025-12-19 07:35:55] ERROR: Redis Client Error
[2025-12-19 07:35:57] ERROR: Redis Client Error
[2025-12-19 07:36:00] ERROR: Redis Client Error
[2025-12-19 07:36:02] ERROR: Redis Client Error
[2025-12-19 07:36:04] ERROR: Redis Client Error
[2025-12-19 07:36:06] ERROR: Redis Client Error
[2025-12-19 07:36:08] ERROR: Redis Client Error
[2025-12-19 07:36:10] ERROR: Redis Client Error
[2025-12-19 07:36:12] ERROR: Redis Client Error
[2025-12-19 07:36:14] ERROR: Redis Client Error
[2025-12-19 07:36:16] ERROR: Redis Client Error
[2025-12-19 07:36:18] ERROR: Redis Client Error
[2025-12-19 07:36:20] ERROR: Redis Client Error
[2025-12-19 07:36:23] ERROR: Redis Client Error
[2025-12-19 07:36:25] ERROR: Redis Client Error
[2025-12-19 07:36:27] ERROR: Redis Client Error
[2025-12-19 07:36:29] ERROR: Redis Client Error
[2025-12-19 07:36:31] ERROR: Redis Client Error
[2025-12-19 07:36:33] ERROR: Redis Client Error
[2025-12-19 07:36:35] ERROR: Redis Client Error
[2025-12-19 07:36:37] ERROR: Redis Client Error
[2025-12-19 07:36:40] ERROR: Redis Client Error
[2025-12-19 07:36:42] ERROR: Redis Client Error
[2025-12-19 07:36:44] ERROR: Redis Client Error
[2025-12-19 07:36:46] ERROR: Redis Client Error
[2025-12-19 07:36:48] ERROR: Redis Client Error
[2025-12-19 07:36:50] ERROR: Redis Client Error
[2025-12-19 07:36:52] ERROR: Redis Client Error
[2025-12-19 07:36:54] ERROR: Redis Client Error
[2025-12-19 07:36:56] ERROR: Redis Client Error
[2025-12-19 07:36:58] ERROR: Redis Client Error
[2025-12-19 07:37:00] ERROR: Redis Client Error
[2025-12-19 07:37:02] ERROR: Redis Client Error
[2025-12-19 07:37:05] ERROR: Redis Client Error
